key,name,other_names,annotation,notes
colonna-lorenzo,Lorenzo Onofrio Colonna,Lorenzo Colonna,More information coming soon!,
constance,Constance,,A woman in Marie's service.,
dangeau,monsieur Dangeau,,"Philippe de Courcillon, marquis de Dangeau (1638-1720) was a French military commander and diplomat. He was also a man of letters; he was elected to the Académie Française in 1668, and he became known posthumously for the journal he kept from 1684 until his death in 1720, in which he recorded daily life at the court of Louis XIV.",
emanuel-del-illa,don Emanuel del Illa,,More information coming soon!,
fanchon,Fanchon,,A woman in Marie's service.,
giovanni,Giovanni,,More information coming soon!,see 1672_12_10_mm2lc
iovani,Don Iovani,,More information coming soon!,
james-ii,il duca di York,,"The Duke of York (1633-1701) became James II of England and Ireland, and James VII of Scotland, in 1685 upon the death of his brother, Charles II. James was Catholic, and he remained on the throne only until 1688, when the Glorious Revolution brought about the reign of his Anglican daughter Mary and her husband William of Orange.",
lerma,la duchessa de Lerma,,More information coming soon!,
louis-xiv,King Louis XIV,,More information coming soon!,
lucrezia-colonna,la duchessa di Bassanello,Duchess of Bassanello,"Lucrezia Colonna (1652-1716), younger sister of Lorenzo Onofrio Colonna, Marie's husband.",
madama-di-chalais,madama di Chalais,,"<p>Anne-Marie de La Trémouille (or Marie-Anne de La Trémoille), Princesse de Chalais (1642-1722), was married in 1657 to Adrien-Blaise de Talleyrand, Prince de Chalais, and was widowed in 1670 in Italy. She stayed in Italy, and in 1675 she married Flavio degli Orsini, Duke of Bracciano (1620-1698). After his death, she assumed the title of Princesse des Ursins, although it had no legal existence, and through her complicated political maneuvering, she managed to establish herself as camerera mayor to Marie-Louise Gabrielle of Savoy (granddaughter of Hortense's benefactor, Charles-Emmanuel II of Savoy), the thirteen-year-old bride of the young Spanish king, Philip V (who was himself the grandson of Louis XIV). From 1701 to 1714, the Princesse des Ursins was the most powerful figure in Spain, holding sway as she did over the young queen and through her, over the king.</p><p>However, Marie's reference here to the Princesse de Chalais is meant to point out the freedom which she claimed for herself as a young widow in Italy. And like the freedom that the Mancini sisters had appropriated, it was looked upon with disapproval by such contemporaries as Madame de Sévigné, who wrote in 1672: “Madame de Chalais is mad; that is how she is seen in this country. The fine idea of going from town to town, in Italy, like a hapless wretch of a princess, instead of coming back peacefully to Paris to her mother who adores her, and who counts among all the misfortunes of her family the extravagance of her daughter! She is right; I have never seen a more ridiculous one.” (« Mme de Chalais est folle; on la trouve telle en ce pays-ci. La belle pensée d'aller de ville en ville, en Italie, comme une princesse infortunée, au lieu de revenir à Paris paisiblement chez sa mère qui l'adore, et qui met au rang de tous les malheurs de sa maison l'extravagance de sa fille ! Elle a raison ; je n'en ai jamais vu une plus ridicule. ») Letter to Madame de Grignan dated April 20, 1672, Correspondance, I: 484.</p>",
maddalena,Maria Maddalena,,More information coming soon!,
mancini-hortense,Madame Mazarin,madama Mazarini,Marie Mancini's sister,
mancini-marie,Marie Mancini Colonna,Marie Mancini,More information coming soon!,
marcantonio,Marcantonio,,More information coming soon!,
marcatelli,Marcatelli,,Marcatelli was a servant of the Colonna household in Rome whom Marie often mentions in connection with financial transactions.,
marchese-pietro,Pietro Marchese,,More information coming soon!,
martinozzi-laura,la duchessa di Modena,,"The Duchess of Modena was Marie's first cousin, Laura Martinozzi (1639-1687), another niece of Cardinal Mazarin who had come to the French court from Rome at the same time as Marie and Hortense, in 1653. Laura was married in 1655 to Alfonso IV d'Este, Duke of Modena, who died in 1662. Laura was regent for her son, Francesco II d'Este, who began to reign in 1674. Laura's daughter, Mary of Modena (1658-1718), was married in 1673 to the Duke of York (1633-1701), who later became James II of England and Ireland and James VII of Scotland.",
master-general,Master General of the Minverva,,"When Marie refers to 'il generale della Minerva,' she means 'il maestro generale della basilica di Santa Maria sopra Minerva'–the Master General of the basilica of Santa Maria sopra Minerva, on the Piazza della Minerva in Rome. The basilica was the seat of the top hierarchy of the Dominican order, and the Master General was the head of the order.",
mme-diodati,Madame Diodati,,A member of the Colonna household in Rome.,
monterey,conte di Monterey,Earl of Montery,More information coming soon!,
mories,Monsieur de Moriès,,"According to Claude Dulong, Monsieur de Moriès was related to Madame de Venelle, the governess for Marie and her sisters when they came to France. Dulong, <em>Marie Mancini</em>, 374 n.",
nanette,Nanette,,A maid of honor in Marie's service.,
nene,Néné,,"Néné—or Néna, according to Claude Dulong—was Marie's dog. Dulong, <em>Marie Mancini</em>, 205.",
oliva-gian-paolo,Oliva,,"Father Gian Paolo Oliva (1600-1681) became general of the Society of Jesus in 1664. He was a noted preacher and an art lover who had close ties to the Colonna family, even as he worked consistently to limit the influence of the nobility on the Jesuit order.",
osera,il marchese d'Ossera,,More information coming soon!,
osuna,il duca d'Osuna,il duca d'osona,"Don Gaspar Téllez Girón Gómez de Sandoval Enríquez de Rivera, Duke of Osuna, Marquis of Peñafiel, Count of Ureña (d. 1694), was governor of Milan from 1670 to 1674. He was reputed to have seduced several ladies of the Milanese nobility.",
principe-carignano,il principe di Carignano,,"Emmanuel-Philibert de Savoie-Carignan, prince de Carignan (1628-1709), was the first cousin of Duke Charles-Emmanuel II of Savoy. He was also the brother-in-law of Marie's sister Olympe Mancini, who was married to Eugène-Maurice de Savoie-Carignan, comte de Soissons. The nephews whom Marie mentions were both her nephews and the prince de Carignan's; he had no children of his own until after his marriage in 1684.",
sonnino,il principe di Sonnino,,"Filippo Colonna (1642-1686), younger brother of Lorenzo Colonna.",
ortensia-stella,Ortensia Stella,la contessa;Madame la comtesse Stella,"Countess Hortense–or Ortensia–Stella was one of the French maids of honor who accompanied Marie to Rome at the time of her marriage to Lorenzo Onofrio Colonna. She belonged to the Colonna household and appears to have been married in Rome to a certain Count Stella. She became the close friend and confidante of Marie, to whom Marie wrote with great affection; however, it is likely that Countess Stella and Lorenzo were also lovers, and she may have borne him children. Dulong, Marie Mancini, 278-79, 367-68.",
tiche,Tiche,,A woman in Marie's service.,
federico,Don Federico,,More information coming soon!,
savoy-duke,Duke of Savoy,,More information coming soon!,
